company_id,cluster_id,cluster_name,distance_from_centroid
ABB,2,Cluster C,0.7563545609132386
ADANIENSOL,3,Cluster D,0.9636883595391437
ADANIENT,3,Cluster D,0.17144343062026535
ADANIGREEN,4,Cluster E,2.7069877537375624
ADANIPORTS,2,Cluster C,1.5019268421775425
ADANIPOWER,3,Cluster D,1.027385589220777
AMBUJACEM,2,Cluster C,0.8362117819106317
APOLLOHOSP,2,Cluster C,0.6606051246979233
ASIANPAINT,2,Cluster C,0.8545261835876828
ATGL,3,Cluster D,0.6260533136599017
AXISBANK,4,Cluster E,0.863488667864674
BAJAJ-AUTO,2,Cluster C,0.27969889467572856
BAJAJFINSV,3,Cluster D,1.2923897199988106
BAJAJHLDNG,0,Cluster A,2.4954299027264706
BAJFINANCE,3,Cluster D,0.8780244264230216
BANKBARODA,4,Cluster E,1.8899494727734794
BEL,1,Cluster B,0.8050522198497102
BHARTIARTL,2,Cluster C,1.4274512629359053
BHEL,2,Cluster C,1.0998932648210846
BOSCHLTD,2,Cluster C,0.576451169493753
BPCL,2,Cluster C,0.6729375564307194
BRITANNIA,2,Cluster C,0.2470442782133897
CANBK,4,Cluster E,2.4744535404761585
CHOLAFIN,4,Cluster E,1.3835595188366554
CIPLA,0,Cluster A,0.970974917524288
COALINDIA,0,Cluster A,1.3107009236267195
DABUR,2,Cluster C,0.33217375268873683
DIVISLAB,2,Cluster C,0.3149016432512997
DLF,2,Cluster C,0.9721608994372508
DMART,3,Cluster D,0.7676695658341338
DRREDDY,2,Cluster C,0.49923101519104773
EICHERMOT,2,Cluster C,0.6470365416138333
GAIL,2,Cluster C,0.7626204593463928
GODREJCP,2,Cluster C,0.2964957541373687
GRASIM,3,Cluster D,0.6272617640733053
HAL,1,Cluster B,0.8050522198497059
HAVELLS,3,Cluster D,0.7825744405763874
HCLTECH,2,Cluster C,0.2203500668270204
HDFCBANK,4,Cluster E,1.0082829662950281
HDFCLIFE,0,Cluster A,1.9957144795534218
HEROMOTOCO,0,Cluster A,1.3483072391420903
HINDALCO,0,Cluster A,0.32259446854483803
HINDUNILVR,0,Cluster A,0.9434329212143071
ICICIBANK,4,Cluster E,0.8576809114396969
ICICIGI,0,Cluster A,0.2236983069646041
ICICIPRULI,0,Cluster A,2.2678638295589844
INDIGO,0,Cluster A,1.3676749167055038
INDUSINDBK,4,Cluster E,1.147608813212778
INFY,2,Cluster C,0.44266231859536914
IOC,2,Cluster C,0.7361234226798257
IRCTC,2,Cluster C,0.9097586046849773
IRFC,4,Cluster E,1.658154779603372
ITC,2,Cluster C,0.5048291893720459
JINDALSTEL,2,Cluster C,0.5369827318786566
JIOFIN,0,Cluster A,0.3217273996830153
JSWENERGY,2,Cluster C,1.0702928710885746
JSWSTEEL,3,Cluster D,0.3225891111258747
KOTAKBANK,0,Cluster A,1.314003515862369
LICI,2,Cluster C,0.8482365657379203
LODHA,2,Cluster C,1.1331665204596022
LT,2,Cluster C,0.4665152370276779
LTIM,3,Cluster D,1.4649410711584596
M&M,3,Cluster D,0.7427658844993755
MARUTI,2,Cluster C,0.8192369664614637
MOTHERSON,2,Cluster C,0.7306834852206952
NAUKRI,2,Cluster C,0.9378064828894388
NESTLEIND,2,Cluster C,0.25532412652864533
NHPC,2,Cluster C,1.8478981989419598
NTPC,2,Cluster C,0.51155901023201
ONGC,2,Cluster C,0.4505753067424625
PFC,4,Cluster E,1.3188497078471284
PIDILITIND,2,Cluster C,0.45904032192275446
PNB,2,Cluster C,1.8033488957382493
POWERGRID,0,Cluster A,2.050211913777613
RECLTD,4,Cluster E,1.9238022127530443
RELIANCE,2,Cluster C,0.23176701101749686
SBILIFE,3,Cluster D,1.2227497381665104
SBIN,3,Cluster D,1.8494707542245057
SHREECEM,2,Cluster C,0.15968899735239636
SHRIRAMFIN,3,Cluster D,0.8938742250780053
SIEMENS,2,Cluster C,0.4927581695811712
SUNPHARMA,2,Cluster C,0.23923028196399776
TATACONSUM,2,Cluster C,0.42561324737093387
TATAMOTORS,2,Cluster C,0.5419369401693506
TATAPOWER,3,Cluster D,0.33287021762354113
TATASTEEL,2,Cluster C,0.4925729327317927
TCS,2,Cluster C,0.22837538095924836
TECHM,2,Cluster C,0.9997639626464172
TITAN,3,Cluster D,0.4246275323517578
TORNTPHARM,2,Cluster C,0.44935161664979867
TRENT,3,Cluster D,2.2993968718749502
TVSMOTOR,3,Cluster D,0.7555879944231129
ULTRACEMCO,2,Cluster C,0.3815679472839297
UNIONBANK,2,Cluster C,0.3815679472839297
UNITDSPR,2,Cluster C,0.3815679472839297
VBL,2,Cluster C,0.3815679472839297
VEDL,2,Cluster C,0.3815679472839297
WIPRO,2,Cluster C,0.3815679472839297
ZOMATO,2,Cluster C,0.3815679472839297
ZYDUSLIFE,2,Cluster C,0.3815679472839297
