company_id,from_pattern,to_pattern,year
ABB,Reinvestor,Unknown,Mar 2014
ABB,Unknown,Reinvestor,Mar 2015
ABB,Reinvestor,Growth Funded by Debt,Mar 2015
ABB,Growth Funded by Debt,Reinvestor,Mar 2016
ABB,Reinvestor,Mixed,Mar 2018
ABB,Mixed,Reinvestor,Mar 2019
ABB,Reinvestor,Mixed,Mar 2019
ABB,Mixed,Reinvestor,Mar 2020
ABB,Reinvestor,Mixed,Mar 2020
ABB,Mixed,Reinvestor,Mar 2021
ABB,Reinvestor,Mixed,Mar 2023
ABB,Mixed,Reinvestor,Mar 2024
ADANIENSOL,Unknown,Growth Funded by Debt,Mar 2015
ADANIENSOL,Growth Funded by Debt,Reinvestor,Mar 2016
ADANIENSOL,Reinvestor,Mixed,Mar 2018
ADANIENSOL,Mixed,Reinvestor,Mar 2021
ADANIENSOL,Reinvestor,Mixed,Mar 2023
ADANIENSOL,Mixed,Reinvestor,Mar 2024
ADANIENT,Mixed,Reinvestor,Mar 2014
ADANIENT,Reinvestor,Mixed,Mar 2015
ADANIENT,Mixed,Reinvestor,Mar 2016
ADANIENT,Reinvestor,Mixed,Mar 2017
ADANIENT,Mixed,Liquidating Assets,Mar 2019
ADANIENT,Liquidating Assets,Reinvestor,Mar 2020
ADANIENT,Reinvestor,Mixed,Mar 2021
ADANIENT,Mixed,Reinvestor,Mar 2023
ADANIENT,Reinvestor,Mixed,Mar 2024
ADANIGREEN,Mixed,Reinvestor,Mar 2023
ADANIGREEN,Reinvestor,Mixed,Mar 2024
ADANIPORTS,Mixed,Reinvestor,Mar 2015
ADANIPORTS,Reinvestor,Mixed,Mar 2016
ADANIPORTS,Mixed,Reinvestor,Mar 2017
ADANIPORTS,Reinvestor,Mixed,Mar 2019
ADANIPORTS,Mixed,Reinvestor,Mar 2020
ADANIPORTS,Reinvestor,Mixed,Mar 2021
ADANIPORTS,Mixed,Reinvestor,Mar 2022
ADANIPOWER,Mixed,Reinvestor,Mar 2015
ADANIPOWER,Reinvestor,Liquidating Assets,Mar 2022
AGTL,Mixed,Liquidating Assets,Mar 2019
AGTL,Liquidating Assets,Reinvestor,Mar 2020
AGTL,Reinvestor,Mixed,Mar 2021
AGTL,Mixed,Reinvestor,Mar 2024
AMBUJACEM,Reinvestor,Mixed,Mar 2023
APOLLOHOSP,Mixed,Reinvestor,Mar 2014
APOLLOHOSP,Reinvestor,Mixed,Mar 2015
APOLLOHOSP,Mixed,Reinvestor,Mar 2018
AXISBANK,Mixed,Growth Funded by Debt,Mar 2015
AXISBANK,Growth Funded by Debt,Distress Signal,Mar 2016
AXISBANK,Distress Signal,Reinvestor,Mar 2017
AXISBANK,Reinvestor,Growth Funded by Debt,Mar 2018
AXISBANK,Growth Funded by Debt,Mixed,Mar 2019
AXISBANK,Mixed,Growth Funded by Debt,Mar 2024
BAJAJ-AUTO,Reinvestor,Liquidating Assets,Mar 2020
BAJAJ-AUTO,Liquidating Assets,Reinvestor,Mar 2021
BAJAJ-AUTO,Reinvestor,Liquidating Assets,Mar 2022
BAJAJ-AUTO,Liquidating Assets,Reinvestor,Mar 2024
BAJAJFINSV,Distress Signal,Growth Funded by Debt,Mar 2016
BAJAJFINSV,Growth Funded by Debt,Distress Signal,Mar 2017
BAJAJFINSV,Distress Signal,Growth Funded by Debt,Mar 2018
BAJAJFINSV,Growth Funded by Debt,Mixed,Mar 2021
BAJAJFINSV,Mixed,Distress Signal,Mar 2022
BAJAJFINSV,Distress Signal,Growth Funded by Debt,Mar 2023
