KPI,P10,P25,P50,P75,P90,Mean,Std
sales,11250.0,19798.0,50163.5,124673.75,225504.3,109807.42,172719.7
operating_profit,1818.8,3726.0,11057.0,33733.5,61972.6,25914.04,39144.14
net_profit,1278.9,2120.25,5023.5,14622.5,27743.1,11612.63,15605.63
eps,6.0,15.75,44.0,71.5,156.1,78.86,128.84
return_on_equity_pct,8.4,11.63,15.83,25.85,47.66,121.51,630.39
debt_to_equity,0.01,0.06,0.43,1.64,6.57,1.77,3.06
net_profit_margin_pct,3.63,7.19,13.45,20.79,27.83,19.29,43.29
operating_profit_margin_pct,9.61,14.88,25.5,37.89,79.24,33.01,26.65
interest_coverage,1.59,3.58,11.37,59.39,195.48,91.56,446.85
asset_turnover,0.07,0.21,0.68,1.13,1.65,3.44,15.68
